"Pathway_Name"	"Gene_Found"	"Gene_Pathway"	"Percentage"	"pvalue"	"pvalueAdj"	"KeggID"	"GeneList"
"04110"	"Cell cycle"	23	124	0.19	3.00335154370599e-07	0.000103014957949115	"hsa04110"	"CDKN2A/ E2F1/ E2F2/ SMC1B/ MAD2L1/ PLK1/ BUB1/ BUB1B/ TTK/ CDC45/ CCNA2/ CCNB1/ CCNE1/ PKMYT1/ CCNB2/ CCNE2/ PTTG1/ ESPL1/ CDK1/ CDC6/ CDC20/ CDC25A/ CDC25C"
"00350"	"Tyrosine metabolism"	10	36	0.28	5.90708731443914e-06	0.000291085236266588	"hsa00350"	"ADH1A/ ADH1B/ ADH1C/ IL4I1/ AOC2/ AOX1/ MAOA/ PNMT/ TYRP1/ AOC3"
"00830"	"Retinol metabolism"	15	68	0.22	2.16711364820553e-06	0.000291085236266588	"hsa00830"	"ADH1A/ ADH1B/ ADH1C/ CYP2A6/ CYP2A7/ ALDH1A1/ AOX1/ UGT2B28/ UGT1A6/ CYP26B1/ RDH5/ UGT2B4/ RDH16/ HSD17B6/ ALDH1A2"
"04260"	"Cardiac muscle contraction"	17	87	0.2	3.59505406723828e-06	0.000291085236266588	"hsa04260"	"TRDN/ COX6C/ COX7A1/ CACNG4/ HRC/ MYH7/ MYL2/ MYL3/ ATP1A2/ ATP1A3/ ATP2A1/ SLC8A2/ TNNC1/ TNNI3/ CACNA1S/ CACNA2D1/ CASQ2"
"04512"	"ECM-receptor interaction"	17	88	0.19	4.26230490727137e-06	0.000291085236266588	"hsa04512"	"COL1A1/ COL2A1/ COL9A1/ COL9A3/ COMP/ COL6A6/ FREM1/ FN1/ HMMR/ IBSP/ ITGA7/ RELN/ SPP1/ TNXB/ VTN/ VWF/ CD36"
"04657"	"IL-17 signaling pathway"	18	94	0.19	2.76190794791756e-06	0.000291085236266588	"hsa04657"	"MAPK15/ FOS/ FOSB/ CXCL2/ S100A7A/ IL6/ CXCL10/ MMP1/ MMP3/ MMP9/ MMP13/ MAPK10/ S100A7/ S100A8/ S100A9/ CCL11/ CCL20/ MUC5B"
"05410"	"Hypertrophic cardiomyopathy"	17	90	0.19	5.94051502584874e-06	0.000291085236266588	"hsa05410"	"DES/ DMD/ CACNG4/ IGF1/ IL6/ ITGA7/ MYH7/ MYL2/ MYL3/ ATP2A1/ SGCG/ SLC8A2/ TNNC1/ TNNI3/ TTN/ CACNA1S/ CACNA2D1"
"03320"	"PPAR signaling pathway"	15	76	0.2	1.00165461984128e-05	0.000423335609518133	"hsa03320"	"SORBS1/ FABP4/ ACSL1/ SLC27A6/ ACADL/ AQP7/ LPL/ MMP1/ OLR1/ PCK1/ PLIN1/ PPARG/ PLIN4/ ADIPOQ/ CD36"
"04974"	"Protein digestion and absorption"	18	103	0.17	1.11079314450822e-05	0.000423335609518133	"hsa04974"	"COL1A1/ COL2A1/ COL9A1/ COL9A3/ COL10A1/ COL11A1/ COL11A2/ COL17A1/ COL6A6/ CPB1/ COL22A1/ MME/ ATP1A2/ ATP1A3/ SLC1A1/ SLC8A2/ SLC15A1/ XPNPEP2"
"04024"	"cAMP signaling pathway"	29	216	0.13	1.25193766834197e-05	0.000429414620241296	"hsa04024"	"CGA/ CNGA3/ ADORA2A/ ADRB2/ EDN2/ EDN3/ FOS/ GNAI1/ GRIA2/ GRIA4/ GRIN2C/ GRIN2D/ HTR1D/ LIPE/ ATP1A2/ ATP1A3/ ATP2A1/ NPR1/ OXTR/ PDE3B/ CALML5/ FXYD1/ MAPK10/ HCN2/ TNNI3/ CACNA1S/ CREB3L1/ GABBR2/ CREB5"
"04060"	"Cytokine-cytokine receptor interaction"	35	295	0.12	2.6821690332858e-05	0.000836349071288209	"hsa04060"	"CNTFR/ ACVR1C/ GDF9/ GDF10/ GHR/ CXCL17/ CXCL2/ BMP8A/ IL6/ TNFRSF9/ INHA/ INHBA/ CXCL10/ LEP/ LEPR/ LIFR/ LTB/ CXCL9/ NGFR/ IL20/ IL21R/ CCL28/ CCL11/ CCL14/ CCL20/ CCL21/ CXCL11/ CX3CL1/ BMP2/ BMPR1B/ TGFBR2/ THPO/ TNFRSF18/ IL33/ GDF15"
"00360"	"Phenylalanine metabolism"	6	17	0.35	3.51255688619432e-05	0.000966399002864473	"hsa00360"	"GLYAT/ IL4I1/ AOC2/ MAOA/ PAH/ AOC3"
"04020"	"Calcium signaling pathway"	30	240	0.12	3.66273674555048e-05	0.000966399002864473	"hsa04020"	"TRDN/ ADORA2A/ ADRB2/ EDNRB/ FGF1/ FGF2/ FGFR3/ GNAL/ GRIN2C/ GRIN2D/ HRC/ ITPKA/ MYLK/ ATP2A1/ NTRK2/ OXTR/ PDE1C/ CALML5/ PTGFR/ RET/ RYR1/ RYR3/ SLC8A2/ TACR1/ TNNC2/ TNNC1/ CACNA1S/ CASQ1/ CASQ2/ CACNA1H"
"05414"	"Dilated cardiomyopathy"	16	96	0.17	5.574148375794e-05	0.00136566635206953	"hsa05414"	"DES/ DMD/ CACNG4/ IGF1/ ITGA7/ MYH7/ MYL2/ MYL3/ ATP2A1/ SGCG/ SLC8A2/ TNNC1/ TNNI3/ TTN/ CACNA1S/ CACNA2D1"
