"","GENE","ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","NDC80","NUF2","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T","ABCC3","ACOX2","ACSL3","AHCYL1","AK2","AKAP1","ARF1","ARHGDIB","ARL6IP1","ARNT2","ARPC1B","ASF1A","ATP6AP1","BAG4","BIRC2","BMP7","BRCA1","BTF3","BUB1","BUB3","KIT","C10orf116","C10orf67","C11orf45","C11orf54","C4A","C5orf13","CABP4","CASP1","CASP3","CASP7","CCNG2","CCNH","CD38","CD3D","CD4","CD58","CD59","CDH1","CDKN2D","CDKN3","CEBPG","CENPE","CES2","CETN3","CHAF1B","CHI3L1","CHI3L2","CKS1B","CKS2","CLDN3","CLDN4","CLGN","CLTC","COX5A","CP","CRABP1","CSE1L","CSRP2","CST6","CTNNA1","CX3CL1","CXCL9","DAZAP2","DLX5","DUSP4","DUSP6","DYRK4","ECHDC1","EIF2C2","EPHX2","EPOR","ETFA","EXOSC9","EXT2","FABP7","FADD","FAM3C","FANCA","FBL","FEM1B","FGF12","FKBP11","FOLR1","FUBP1","FUCA1","FUT8","GARS","GART","GATA3","GATM","GLG1","GPSM2","GSTK1","GSTM1","GSTP1","GTPBP4","H1F0","H3F3B","HDAC2","HINT1","HIPK2","HLA.DRB1","HMGB2","HOXB6","HTATIP2","IDH2","IFI30","IFI6","IFITM1","IGBP1","IGFBP2","IL13RA1","IMPA2","INPP4B","INSM1","ISG15","ISG20","ITGB4","KCNMA1","KIAA0101","KIAA0182","KIF13B","KIF2C.1","KRT13","KRT14.1","KRT15","KRT16","KRT17.1","KRT18","HBA2","LIPE","IVL","LEP","ITPKA","CNN1","ABP1","C6","GPD1","MUC2","MYH2","PYGM","RDH5","ROS1","TNNC2","IL20","MYO3B","AQPEP","PLAC9","ARMC3","MS4A15","SKA1","HEPACAM","LRRN4CL","SKA3","PI16","VSTM2A","SCUBE3","CNIH2","MAMDC2","ASPM","PRSS33","PYDC1","LOC283392","NPW","TMEM145","IGSF10","TUSC5","S100A7A","GPIHBP1","GPR109A","LST.3TM12","FAM5C","KY","SBSN","C9orf169","SPDYC","KRTDAP","SAMD5","CSAG3","C14orf180","DEFB132","C4orf40","KLHL31","PRRT4","CXADRP3","SULT1C3","LMOD2","CT45A1","HEPN1","FAM196A","NBPF6","LRTM2","LOC728264","MAGEA9B","PLIN4","GAGE2D","FAM72A","FAM196B","GAGE12D","PDE2A","PDE3B","PDK4","PENK","PFKFB1","PITX1","PLIN1","PLK1","FXYD1","PPARG","PPP1R1A","PPP2R2C","MASP1","PVALB","PYGM.1","RBP4","RDH5.1","ROS1.1","RRM2.1","S100A8","S100A9","S100P","SAA1","SAA2","SERPINB3","SERPINB4","SCN3A","SCN4A","SRL","CCL11","CCL14","CXCL11","SFTPB","SIX3","SLC1A6","SLC2A4","SLC6A4","SLN","SOX2","SPRR1B","AURKA","SYT4","TDO2","TFR2","TIMP4","TK1","CLEC3B","TNNC2.1","TNNC1","TNNI1","TNNI2","TNNI3","TNNT3","IDH3","IFI6.1","ISG15.1","STAT1","ISG20.1","CXCL9.1","CASP1.1","NMI","YES1","SOD2","SNRPD1","EIF2C2.1","GARS.1","SOX4","SUBTYPE"
"1","TCGA-A8-A08S-01A-11R-A034-07",393,1380,4992,12947,883,4620,3912,200,1461,4990,1274,7656,1560,3595,150,133850,62344,698,37,57577,154,2620,11629,1091,182,285,176,903,9716,921,36,11979,22981,40155,2042,1619,7582,1026,762,199,3766,2576,1119,3886,520,636530,718,1859,1900,1013,994,2123,12623,9944,4895,7544,28588,49334,34094,7815,4320,2279,17828,372,2346,630,1637,31516,1605,8615,1961,3254,2,102,1641,274498,2643,380,616,2835,3931,18085,1880,24,102,2271,600,55520,37093,634,1237,2209,1813,2393,1061,841,256,301,1497,1924,1927,10846,2695,49769,4485,9153,287,9131,398,118,44412,547,799,34529,63,1870,1753,1388,758,1426,1423,200,2197,2017,5378,9,2164,1726,625,3764,5991,61,700,25,6015,3839,3697,3868,3534,66555,931,9255,1056,4403,3289,15762,3612,35770,41809,8924,8274,2875,15775,14139,316,1943,14436,8214,59427,87799,4657,23280,13204,590,2306,79,24619,1238,3272,14151,992,7133,8788,1091,8,182,1789,11,285,135181,12947,274498,150,41809,1274,22,11629,14151,547,634,7582,4150,2246,143,1091,566,1629,3510,258,3729,96,17599,45811,270,238,34789,218,2685,1433,4150,2246,393,1380,4992,12947,883,4620,3912,200,1461,4990,1274,7656,156420,1540,225,58471,0,6546,143,883,4620,3912,200,1461,4990,1274,7656,1560,3595,150,133850,62344,698,7721,5851,253,364,325,2586,559685,5562,5564,5852,28552,58,2838,3985,5772,4540,552,695,247,1450,15,1091,8,182,5708,4149,3360,6514,894,840,3510,258,3729,96,2642,5399,147,7054,422,700,3635,3601,450,4150,2246,6189,8196,5488,310,520,61762,62374,257,77,3178,188,4632,1045,494,9902,23280,762,458,5317,10268,22608,49533,41045,1829,15703,1714,2502,4620,"LumA"
"2","TCGA-S3-AA11-01A-31R-A41B-07",422,700,3635,3601,450,4150,2246,143,1091,566,1629,3510,258,3729,96,17599,45811,270,238,34789,218,2685,1433,691,4861,7843,4388,18923,4266,425,235,2378,61379,12071,767,1858,13305,415,315,256,4562,1441,472,886,2287,55899,133,1290,918,604,1061,763,5201,10896,4806,2771,27377,10191,12503,1226,3351,1058,11387,283,2774,207,617,29440,679,9617,520,2196,0,114,1108,95218,2482,53,380,1385,1221,9448,1363,2,38,877,278,13524,42933,268,210,1922,478,3145,634,559,1831,71,949,1091,1121,5708,4553,23338,2047,106,326,4250,132,24,23595,2614,208,13811,16,3357,2287,704,1812,451,643,563,2897,880,3122,29,1412,1175,873,3419,3566,97,903,33,4400,2415,3547,3422,2393,28713,1029,8176,1103,4806,35,1334,2324,18149,27487,5718,3690,2059,2559,4062,39,493,6459,4049,39471,10420,2663,7271,6195,248,2534,225,3863,341,3505,1141,558,10658,10349,691,1,4861,20701,141,7843,31056,3601,95218,96,27487,1629,350,1433,1141,2614,268,13305,873,38,873,422,2685,422,700,2685,422,1058,11387,283,2774,700,2685,422,873,10896,71,422,422,700,3635,3601,450,4150,2246,143,1091,566,1629,3510,143,1091,3912,200,1461,4990,1274,450,4150,2246,143,1091,566,1629,3510,258,3729,96,17599,45811,270,210,1922,478,3145,634,559,1831,71,949,1091,1121,5708,4149,3360,6514,894,840,317,205,3350,223,691,1,4861,4879,779,730,2092,1931,899,700,2685,422,1058,2811,2615,1571,15846,9001,14099,2384,26180,19949,203,1502,3046,5043,8018,574,646,34114,43997,1240,762,5924,1144,4115,1032,951,1460,7271,315,92,483,6898,17678,14669,35770,2451,1217,694,873,4150,"Her2"
"3","TCGA-C8-A1HL-01A-11R-A137-07",255,3250,3897,1418,6189,8196,5488,310,2642,5399,147,7054,2823,1284,145,31884,7420,860,109,16841,263,3951,2790,1800,208,71,107,21,3603,1019,23,6205,22335,7011,5760,806,1932,1536,1876,756,99,1185,3433,8779,331,19996,173,3370,4444,2196,371,13779,7693,8646,4662,3710,50252,18529,23901,1600,6552,1008,12955,225,1387,2,571,33960,1764,12153,262,1097,0,57,510,5632,4075,30,328,2290,1554,4123,1437,15,29,1672,383,10585,35797,200,832,2300,1236,1293,731,690,518,119,2838,3985,5772,4879,947,70979,9291,6,0,5389,218,44,19946,452,524,17461,28,75,2953,681,2316,301,386,220,5702,1404,3613,0,764,1876,666,3578,5350,45,1623,189,2946,3254,4960,5200,2176,23638,230,5258,1660,7317,2,1441,2624,10541,31952,5576,6571,1949,1081,9953,172,2083,10695,5605,6327,2680,4343,16325,7894,112,831,2,1942,673,4382,238,4522,10356,609,1800,0,208,195,8,71,44654,1418,5632,145,31952,147,1418,2790,238,452,200,1932,666,29,666,255,3951,255,3250,3951,255,1008,12955,225,1387,3250,3951,255,666,8646,119,255,255,3250,3897,1418,6189,8196,5488,310,2642,5399,147,7054,422,700,3635,3601,450,4150,2246,6189,8196,5488,310,2642,5399,147,7054,2823,1284,145,31884,7420,860,832,2300,1236,1293,731,690,518,119,2838,3985,5772,4879,779,730,2092,1931,899,701,1177,252,142,1800,0,208,14574,1220,649,629,2467,820,3250,3951,255,1008,525,489,1668,2485,2627,4714,1117,12537,4487,58,720,201,2344,1117,37,410,21865,57255,1170,1202,4282,4430,2350,985,1248,671,16325,1876,1402,1571,10406,10307,3467,9765,4259,11825,280,666,8196,"LumB"
"4","TCGA-BH-A42T-01A-11R-A24H-07",327,2863,2875,4669,3046,5043,8018,574,2811,2615,1571,15846,2526,8222,65,63054,33607,2126,333,16746,290,2079,4381,2172,64,66,18,11580,3713,954,0,11981,25709,36575,14487,17916,2710,1418,1645,447,13280,4709,4086,4113,1206,61290,151,5179,4963,4688,3223,725,4304,9328,6073,11620,69867,12788,21992,5255,11822,630,22056,403,1948,1905,2926,39784,2449,9953,1156,11600,88,177,1451,167730,5217,14,966,2982,3641,8436,1885,21,219,2878,512,25610,6144,1090,544,3216,1668,2113,1065,1178,170,649,4149,3360,6514,14574,77,31159,5991,79,20425,7922,574,1315,35835,2131,743,19828,51,1004,1762,1809,1500,532,1168,407,3371,2590,3657,0,5516,1339,529,19298,4421,38,1149,27,3385,1466,2464,6289,5151,62976,444,7241,2504,4885,3773,3752,4881,14951,45497,9001,14099,2384,26180,19949,203,1502,10105,14614,3659,8852,3770,10619,8123,3262,1148,5,2389,2360,1796,842,3388,5500,2149,2172,0,64,1799,153,66,73749,4669,167730,65,45497,1571,4669,4381,842,2131,1090,2710,529,219,529,327,2079,327,2863,2079,327,630,22056,403,1948,2863,2079,327,529,9328,649,327,327,2863,2875,4669,3046,5043,8018,574,2811,2615,1571,15846,9001,14099,2384,26180,19949,203,1502,3046,5043,8018,574,2811,2615,1571,15846,2526,8222,65,63054,33607,2126,544,3216,1668,2113,1065,1178,170,649,4149,3360,6514,14574,1220,649,629,2467,820,256,3240,13280,4709,2172,0,64,5132,1468,1393,2310,2568,2119,2863,2079,327,630,481,578,1636,2026,4004,7544,2074,8524,4414,558,1250,326,7502,1354,86,408,16711,20589,476,276,2554,365,1879,1185,701,1931,10619,1645,133,1871,6420,2591,3463,5248,4038,9609,2692,529,5043,"LumA"
"5","TCGA-A8-A09T-01A-11R-A00Z-07",283,711,1767,3372,201,2344,1117,37,525,489,1668,2485,359,992,50,7972,13951,179,174,10572,62,1309,491,487,501,201,247,5484,3849,220,35,1502,7472,16485,555,543,1483,267,267,57,21284,535,365,866,619,43943,647,1092,220,357,1279,569,5323,6414,3344,2594,10207,3076,18546,316,2483,538,5244,106,1452,75,608,13308,300,4164,209,4833,1,68,796,31397,1264,51,381,963,1211,4092,956,1,27,1271,246,11934,515,369,249,1079,402,894,840,317,205,95,779,730,2092,5132,149,18809,1337,1030,9,3200,230,44,11550,351,117,10188,93,1521,1313,389,1123,212,316,175,2350,595,1526,6,641,1225,44,3888,3328,5,182,11,2199,1186,2297,2539,2034,9257,1414,2994,944,2623,5142,1462,1797,13125,22205,2627,4714,1117,12537,4487,58,720,2681,2860,1804,5398,1932,2195,5095,359,3665,94,926,207,1896,211,547,2563,1008,487,0,501,9938,20,201,32288,3372,31397,50,22205,1668,3372,491,211,351,369,1483,44,27,44,283,1309,283,711,1309,283,538,5244,106,1452,711,1309,283,44,6414,95,283,283,711,1767,3372,201,2344,1117,37,525,489,1668,2485,2627,4714,1117,12537,4487,58,720,201,2344,1117,37,525,489,1668,2485,359,992,50,7972,13951,179,249,1079,402,894,840,317,205,95,779,730,2092,5132,1468,1393,2310,2568,2119,2164,2224,21284,535,487,0,501,9938,20,201,32288,3372,31397,711,1309,283,538,1154,1007,1032,2653,4207,7669,1661,20926,4847,168,3543,1267,4401,1890,188,211,14042,55585,1214,1373,2721,1928,4051,974,1558,183,2195,267,287,2261,9072,11941,5891,6899,4501,8484,1121,44,2344,"LumA"
"6","TCGA-E2-A1IU-01A-11R-A14D-07",273,563,11824,11023,326,7502,1354,86,481,578,1636,2026,365,1765,510,26160,67419,209,668,16216,264,2973,1329,355,8708,6088,8070,9430,5187,236,189,1793,42991,5194,518,3116,13360,280,369,82,12047,1321,314,909,8771,480749,227,1259,340,347,997,710,13096,14864,5607,6128,23882,19970,23040,3052,3645,1174,12889,573,2188,122,1029,34539,483,7621,1474,7461,0,71,945,98464,963,674,540,1448,1632,9953,1721,80,131,1757,296,68998,19707,259,125,1913,283,1931,899,701,1177,530,1220,649,629,7270,2721,28758,2446,990,42,5683,238,24,27769,2959,1583,18559,19,9798,2254,616,1015,303,3548,146,2061,964,3227,38,4524,1524,274,4467,5298,22,754,111,4263,5392,6732,3517,3344,20624,4225,6534,787,6996,3704,42740,2210,18781,38578,4004,7544,2074,8524,4414,558,1250,5079,4208,6990,15418,4008,3369,13796,538,1289,6,1810,1056,9477,5350,474,4205,11261,355,6,8708,3515,159,6088,36280,11023,98464,510,38578,1636,11023,1329,5350,2959,259,13360,274,131,274,273,2973,273,563,2973,273,1174,12889,573,2188,563,2973,273,274,14864,530,273,273,563,11824,11023,326,7502,1354,86,481,578,1636,2026,4004,7544,2074,8524,4414,558,1250,326,7502,1354,86,481,578,1636,2026,365,1765,510,26160,67419,209,125,1913,283,1931,899,701,1177,530,1220,649,629,7270,5334,3680,815,2088,1011,688,4552,12047,1321,355,6,8708,3515,159,6088,36280,11023,98464,563,2973,273,1174,1673,1144,561,11457,6065,18363,42516,2817,9359,232,3195,1207,3183,6593,235,609,17327,21967,131,944,6923,2752,1211,1074,1367,1379,3369,369,82,12047,1321,314,909,8771,480749,563,131,274,7502,"LumA"
"7","TCGA-B6-A0IN-01A-11R-A034-07",575,1091,4889,7904,1267,4401,1890,188,1154,1007,1032,2653,735,2829,183,38757,23248,180,1202,15075,294,2314,1004,697,833,813,452,308,3371,548,12,2389,17938,6668,1384,1836,4921,549,640,252,78,1322,1590,1927,1649,230200,8,884,1381,768,353,236,5410,7333,4678,1509,75249,19424,19669,7404,5748,1515,33264,291,1596,33,330,20209,604,6599,253,16721,0,169,548,22957,3805,7,612,1480,989,2120,1149,176,529,4148,407,30066,31875,1273,375,2034,369,2467,820,256,3240,43,1468,1393,2310,10648,242,22739,3838,25,7,4415,464,7,18075,1226,3266,13613,36,261,2934,1102,1695,311,711,159,3198,976,5107,0,1504,2620,153,11853,3936,178,1824,1,2287,5142,5661,4163,2869,15153,968,9831,663,14146,3,4788,2996,5776,40169,4207,7669,1661,20926,4847,168,3543,5503,11146,3475,5011,3693,8057,6975,345,578,9,2411,736,5563,1939,622,6222,1846,697,0,833,210,128,813,35584,7904,22957,183,40169,1032,7904,1004,1939,1226,1273,4921,153,529,153,575,2314,575,1091,2314,575,1515,33264,291,1596,1091,2314,575,153,7333,43,575,575,1091,4889,7904,1267,4401,1890,188,1154,1007,1032,2653,4207,7669,1661,20926,4847,168,3543,1267,4401,1890,188,1154,1007,1032,2653,735,2829,183,38757,23248,180,375,2034,369,2467,820,256,3240,43,1468,1393,2310,10648,3468,1483,2596,1959,1415,970,1239,78,1322,697,0,833,210,128,813,35584,7904,22957,1091,2314,575,1515,1292,1732,9278,5702,6284,8414,11991,7119,4672,167,1089,706,838,2328,129,445,18582,663,575,275,776,274,2039,370,359,26193,8057,640,252,78,1322,1590,1927,1649,230200,1091,529,153,4401,"LumA"
"8","TCGA-E9-A249-01A-11R-A169-07",2147,4839,14652,11911,1207,3183,6593,235,1673,1144,561,11457,1672,3229,32,34469,45783,1131,29,30327,64,4748,2165,1306,13,128,3,35281,9351,1540,45,7468,18547,21455,2692,9980,60281,1379,1692,254,89172,256,1366,1956,147,41859,281,1978,1871,1994,325,631,7771,13001,9015,7710,44916,20768,46677,4821,11334,1795,12058,732,7634,9,2518,61863,1542,27292,832,6716,96,154,3142,209210,6442,97,1138,3419,4505,10182,2059,37,148,2628,659,62585,18053,714,768,4604,1569,2568,2119,2164,2224,9067,5334,3680,815,11048,561,36216,4583,4900,13,20750,308,155,47635,1352,2405,28892,7,1330,2626,1150,900,506,3283,226,3213,1463,7095,0,3155,4107,775,13314,5191,16,1001,1,5778,4567,9547,7924,7972,83472,1712,7290,2015,13516,4522,1462,5163,23637,31053,6065,18363,42516,2817,9359,232,3195,9080,9105,18257,23880,8861,5887,20347,1501,644,8,2448,362,3604,1071,1444,8754,5036,1306,0,13,213,288,128,53956,11911,209210,32,31053,561,11911,2165,1071,1352,714,60281,775,148,775,2147,4748,2147,4839,4748,2147,1795,12058,732,7634,4839,4748,2147,775,13001,9067,2147,2147,4839,14652,11911,1207,3183,6593,235,1673,1144,561,11457,6065,18363,42516,2817,9359,232,3195,1207,3183,6593,235,1673,1144,561,11457,1672,3229,32,34469,45783,1131,768,4604,1569,2568,2119,2164,2224,9067,5334,3680,815,11048,21455,2692,9980,5257,1171,430,7771,89172,256,1306,0,13,213,288,128,53956,11911,209210,4839,4748,2147,1795,2429,1260,1912,3281,2012,10858,1897,19425,9262,81,2661,1849,9484,3722,285,234,20285,52705,610,762,3448,1542,3316,976,877,678,5887,1692,254,89172,256,1366,1956,147,41859,4839,148,775,3183,"LumB"
"9","TCGA-A2-A0T5-01A-21R-A084-07",713,1394,9849,7763,706,838,2328,129,1292,1732,9278,5702,627,4005,1293,27048,18202,910,693,16920,594,2718,2010,953,30041,48997,27781,18877,3766,633,794,2849,19709,8723,1829,9529,21149,593,903,113,21827,1233,544,1791,4238,82694,145,1383,955,1397,3024,615,6706,10604,7279,5853,51115,9098,32181,1917,8172,1328,10995,816,3635,296,1143,42256,766,6819,1708,1542,22,150,1639,110948,4414,96,840,2145,2014,8219,1111,10,63,1865,564,37379,17702,231,276,2109,625,2088,1011,688,4552,3537,3468,1483,2596,13589,612,26649,4409,274,2040,9726,427,112,27605,4206,342,16638,44,2688,10664,820,1427,647,3153,285,1786,1135,4716,18,1924,2225,262,12494,5641,28,2490,152,4666,2449,5625,4526,5228,40636,1345,9567,1273,6276,3,5363,3857,16474,24241,6284,8414,11991,7119,4672,167,1089,7170,3620,1335,11423,5075,8261,10226,1915,668,2,659,870,15012,845,1029,4595,3864,953,24,30041,632,337,48997,47569,7763,110948,1293,24241,9278,7763,2010,845,4206,231,21149,262,63,262,713,2718,713,1394,2718,713,1328,10995,816,3635,1394,2718,713,262,10604,3537,713,713,1394,9849,7763,706,838,2328,129,1292,1732,9278,5702,6284,8414,11991,7119,4672,167,1089,706,838,2328,129,1292,1732,9278,5702,627,4005,1293,27048,18202,910,276,2109,625,2088,1011,688,4552,3537,3468,1483,2596,13589,8723,1829,9529,21149,593,903,113,21827,1233,953,24,30041,632,337,48997,47569,7763,110948,1394,2718,713,1328,1822,1279,7649,6561,6816,8625,14653,26190,5751,10534,3268,825,4487,2458,198,623,26734,3193,142,15,2802,71,2631,722,151,248,8261,903,113,21827,1233,544,1791,4238,82694,1394,63,262,838,"Normal"
"10","TCGA-E9-A1RG-01A-11R-A14D-07",522,891,4001,854,1849,9484,3722,285,2429,1260,1912,3281,885,8966,29,17293,31866,519,191,10596,75,865,1757,1423,948,1700,804,1117,3638,505,6,3296,15387,91286,6574,4668,1253,534,1111,382,4852,1461,1175,1990,60,101588,345,2019,4874,3048,421,2037,5276,4875,4347,6795,45203,23388,25951,1573,24067,543,25395,78,1525,128,879,29139,797,7423,652,41711,0,189,932,6738,2050,184,302,2013,2457,2458,815,13,176,2355,337,19384,34870,1115,720,2272,465,1959,1415,970,1239,88,3468,3025,15706,38888,630,20851,4267,3078,323,9113,478,721,25004,1019,1023,24499,21,107,724,1070,322,364,1339,656,2692,1539,3130,3,3320,1985,702,5567,2081,53,1233,4418,3762,2308,2223,4141,2030,25842,3316,6533,986,6271,1259,3871,2168,18026,32740,2012,10858,1897,19425,9262,81,2661,12524,10644,11643,7400,2148,23763,7641,4522,726,1,8757,298,2536,170,820,8005,1095,1423,249,948,5275,86,1700,198885,854,6738,29,32740,1912,854,1757,170,1019,1115,1253,702,176,702,522,865,522,891,865,522,543,25395,78,1525,891,865,522,702,4875,88,522,522,891,4001,854,1849,9484,3722,285,2429,1260,1912,3281,2012,10858,1897,19425,9262,81,2661,1849,9484,3722,285,2429,1260,1912,3281,885,8966,29,17293,31866,519,720,2272,465,1959,1415,970,1239,88,3468,3025,15706,38888,91286,6574,4668,1253,534,1111,382,4852,1461,1423,249,948,5275,86,1700,198885,854,6738,891,865,522,543,865,933,452,4306,6830,9272,21382,6489,4484,127,619,304,4551,2435,133,570,18796,1656,273,64,2198,132,1494,963,375,22,23763,1111,382,4852,1461,1175,1990,60,101588,891,176,702,9484,"LumA"
